year,nominal_gdp_trillions,cpi,unemployment_rate,policy_rate
1990,5.9,130.0,6.1,7.08
1991,6.166,132.6,5.2,6.46
1992,6.465,135.9,4.9,5.7
1993,6.735,140.0,4.9,5.08
1994,6.966,143.0,5.4,4.94
1995,7.241,146.5,5.5,4.76
1996,7.481,150.3,5.4,4.0
1997,7.823,154.1,5.1,3.77
1998,8.301,156.8,4.8,3.63
1999,8.625,160.8,5.3,3.08
2000,8.949,166.1,5.2,3.17
2001,9.128,168.7,5.3,2.79
2002,9.578,173.8,5.2,3.22
2003,10.021,178.3,5.1,3.25
2004,10.36,182.1,5.1,3.24
2005,10.823,188.8,4.7,2.95
2006,11.4,194.4,4.7,2.92
2007,11.729,197.9,4.8,2.13
2008,11.495,202.9,6.0,1.85
2009,11.265,202.3,6.6,0.82
2010,11.598,207.1,6.3,0.76
2011,11.863,213.1,6.3,0.63
2012,12.364,218.4,5.8,0.52
2013,12.732,224.7,6.1,0.4
2014,13.346,232.3,5.7,0.51
2015,13.972,237.1,5.6,0.52
2016,14.569,243.4,5.0,0.63
2017,14.785,248.8,5.5,1.54
2018,15.355,255.2,4.9,1.62
2019,16.037,259.7,4.3,1.87
2020,15.556,265.3,5.3,0.59
2021,17.111,277.8,4.2,0.56
2022,17.783,300.0,4.5,3.49
2023,18.375,312.3,5.5,6.28
2024,19.023,317.7,5.2,5.63
2025,20.121,324.1,4.7,4.82
